"call_number","creator","date","description","headerImage","identifier","subject","title"
"","Seton, Ernest Thompson","1919-00-00T00:00:00Z","This book was scanned by Gretchen Phillips.","","MonarchTheBigBear","Outdoor Adventure","Monarch The Big Bear"
"","Knox, Loren Laertes","","","","UF00001962","Conduct of life,Religious aspects,Juvenile literature,Children,Money,Publishers' advertisements,Embossed cloth bindings (Binding)","Money matters :"
"","","","This book was scanned by Gretchen Phillips.","","MonkeyJackAndOtherStories","","Monkey Jack And Other Stories"
"","","","","","wngmnk2","","Monkey subdues the White-Bone Demon"
"","Wu Cheng'En, Ca. 1500-Ca.1582","1982-00-00T00:00:00Z","Traveling with his three followers to the West to seek Buddhist scriptures, Hsuan-tsang meets the White-Bone Demon, who keeps changing herself into different human forms in order to catch and eat him. When Hsuan-tsang's follower Monkey sees through her disguises and tries to kill her, the deluded Hsuan-tsang sends him away, only to fall into the demon's clutches. At the last moment Monkey returns to rescue him. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=wngmnky_00220017&summary=true&route=text"" rel=""nofollow"">read a copy of 'Monkey Subdues The White-Bone Demon'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","wngmnky","","Monkey Subdues The White-Bone Demon"
"srlf_ucla:LAGE-2482754","","1806-00-00T00:00:00Z","Publisher's printed tan stiff wrappers; title within ornamental borders on upper wrapper; publisher's booklist on lower wrapper","","moralentertainin00londiala","","Moral and entertaining fables : with copperplates : for the amusement of children"
"srlf_ucla:LAGE-4877285","","1804-00-00T00:00:00Z","Gumuchian","","moralentertainin00uxbriala","Conduct of life,Children's stories, English","Moral and entertaining stories, for youth"
"srlf_ucla:LAGE-2482781","","1806-00-00T00:00:00Z","Contemporary orange and blue marbled wrappers; paper label on upper wrapper. In case","","moralscenesinrus00londiala","Poor,Conduct of life,Moral education","Moral scenes in a rustic walk, or, A pedestrian trip to kill time"
"srlf_ucla:LAGE-1977572","Johnson, R. (Richard), 1733 or 4-1793","1797-00-00T00:00:00Z","Brown paper over boards with white printed label on spine. In case","","moralsketchesfor00johniala","Virtue,Conduct of life,Moral education","Moral sketches for young minds"
"srlf_ucla:LAGE-1473696","Foxton, Thomas, 1697-1769","1728-00-00T00:00:00Z","Brown calf over boards, tooled in gold; rebacked, in case","","moralsongscompos00foxtiala","Conduct of life","Moral songs composed for the use of children"
"srlf_ucla:LAGE-2482787","","1831-00-00T00:00:00Z","Moon, M. Harris (1992)","","moraltales00londiala","Conduct of life","Moral tales"
"srlf_ucla:lage-4694824","","1814-00-00T00:00:00Z","Quarter red roan and marbled paper (printer's waste) over boards. Purchase, Peter Stockham at Images, 1997","","moraltalesinpros00londiala","Conduct of life,Children's stories, English,Children's poetry, English","Moral tales in prose and verse"
"srlf_ucla:LAGE-2482789","","","A young man's tribute of gratitude to his patron -- An address to Charles -- Sights in the air -- A pious child's reflections on death -- The drum -- Stage-struck -- The impressed sailor -- The watchman -- Mary Walter -- The artillery-man -- The foolish girl -- Edward and the match-woman -- A tale of a tub -- The fight at ""The Doe"" -- The happy tinker -- The effects of religion -- The impartiality of brute animals -- The light-house -- The soldier's monument -- The priest, and the pastor -- Tom and the bull-dog -- The soldier's life in tent and field -- The storm at night -- The affectionate","","moraltalesinvers00londiala","Conduct of life","Moral tales in verse : calculated to please and instruct young children"
"srlf_ucla:LAGE-1015655","Cobb, Ruth,Hunter, Richard","1903-00-00T00:00:00Z","Pale green striped cloth over boards","","moredollies00cobbiala","","More dollies"
"srlf_ucla:LAGE-2483817","","1821-00-00T00:00:00Z","Osborne Coll.","","moreminormoralso00londiala","Children -- Conduct of life,Moral education,Single women","More minor morals, or, An introduction to the Winter family : with Aunt Eleanor's stories interspersed"
"","Fanny, Aunt, 1822-1894","1863-00-00T00:00:00Z","","","moremittenswithd00fann","Children's stories, American","More mittens : with The doll's wedding and other stories. Being the third book of the series"
"srlf_ucla:LAGE-3044044","Semple, Elizabeth, fl. 1804-1816,Sandham, Elizabeth","1808-00-00T00:00:00Z","Moon, M. John Harris's books for youth","","moreshortstorie00sempiala","Children -- Conduct of life,Children's stories","More short stories, in words of two syllables"
"srlf_ucla:LAGE-2483845","","1831-00-00T00:00:00Z","Moon, M. J. Harris's books","","moretalesforidle00londiala","Conduct of life,Children's stories,Fairy tales","More tales for idle hours"
"74683","Lane, Edward William, 1801-1876,Olcott, Frances Jenkins","1915-00-00T00:00:00Z","","","moretalesfromara00lane","Fairy tales","More tales from the Arabian nights"
"","Hunter, George McPherson","","","","morningfaces00hunt","Christian life","Morning faces"
"","Osherowitch, Mendel","1999-00-00T00:00:00Z","","","9780657059910","inder-ring biblioe","Mosheh Monefyore :"
"srlf_ucla:LAGE-2489708","","","NUC pre-1956","","mothergooseinhie00philiala","Nursery rhymes,Hieroglyphics","Mother [Goose] in hieroglyphics"
"","Gordon, Elizabeth, 1866-1922,Ross, M. T","","Wesley Weyman Coll","","motherearthschil00gord","Picture books for children,Plants","Mother Earth's children; the frolics of the fruits and vegetables"
"srlf_ucla:LAGE-2489716","Greenaway, Kate, 1846-1901, ill,Evans, Edmund, 1826-1905","","Osborne Coll.","","mothergooseorold00greeiala","Nursery rhymes,Children's poetry","Mother Goose : or, The old nursery rhymes"
"","","","","","culmoth","","Mother Goose Finger Plays"
"srlf_ucla:LAGE-2489710","Goodridge, J. F","","Quarter green cloth and publisher's printed and illustrated yellow paper over boards. Colored in black. Wrappers printed ""Nursery rhymes and melodies of Mother Goose""","","mothergooseinwhi00goodiala","Nursery rhymes,Children's poetry","Mother Goose in white : Mother Goose rhymes, with silhouette illustrations"
"srlf_ucla:LAGE-2489727","","","Brown cloth over boards blocked in gold and blind","","mothergooseschim00philiala","Children's poetry,Nursery rhymes","Mother Goose's chimes, rhymes & melodies"
"srlf_ucla:LAGE-2489737","Bowen, Abel, 1790-1850, engraver,Dearborn, Nathaniel, 1786-1852, engraver,Childs, Shubael D., engraver","","Yellow printed and illustrated wrappers and title: ""Goose's melodies. Complete. With annotations. The only pure edition","","mothergoosesmelo00boweiala","Nursery rhymes","Mother Goose's melodies. : The only pure edition. Containing all that have ever come to light of her memorable writings, together with those which have been discovered among the mss. of Herculaneum, likewise every one recently found in the same stone box which hold [sic] the golden plates of the Book of Mormon. The whole compared, revised, and sanctioned, by one of the annotators of the Goose family. Entered according to Act of Congress in the year 1833, in the Clerk's Office of the District Court of Massachusetts"
"srlf_ucla:LAGE-2489733","","1869-00-00T00:00:00Z","Green cloth over boards blocked in gold and blind","","mothergoosesmelo00newyiala","Nursery rhymes,Children's poetry","Mother Goose's melodies. Containing all that have ever come to light of her memorable writings"
"srlf_ucla:LAGE-2489739","Prideaux, William Francis, 1840-1914","1904-00-00T00:00:00Z","Notes: [1]-14, followed by 3 pages facsimile of publisher's advertisements from 1791 edition","","mothergoosesmelo00pridiala","Nursery rhymes","Mother Goose's melody"
"srlf_ucla:LAGE-2489746","Crane, Walter, 1845-1915,Gilbert, John, Sir, 1817-1897,McConnell, William, 1833-1867,Tenniel, John, Sir, 1820-1914,Weir, Harrison, 1824-1906,Zwecker, Johann Baptist, 1814-1874","1877-00-00T00:00:00Z","Osborne Coll.","","mothergoosesnurs00craniala","Children's songs","Mother Goose's nursery rhymes : a collection of alphabets, rhymes, tales, and jingles"
"srlf_ucla:LAGE-2282882","Martin, Sarah Catherine, 1768-1826","","Publisher's printed yellow wrappers; chromolithographed pictorial upper wrapper; publisher's advertisement on lower wrapper","","motherhubbardsdo00martiala","Dogs","Mother Hubbard's dog"
"srlf_ucla:LAGE-2489787","","","Publisher's printed brown wrappers","","mothermugginherd00londiala","Dogs,Elementary school teachers,Multiplication","Mother Muggin and her dog Trot's A B C"
"","Burgess, Thornton W. (Thornton Waldo), 1874-1965,Cady, Harrison, 1877-1970, ill","","A collection of animal stories","","motherwestwindwh00burg","Animals","Mother West Wind ""when"" stories"
"srlf_ucla:LAGE-2489800","","","Quarter tan sheep and publisher's printed tan paper over boards; spine tooled in gold; publisher's booklist on lower board","","motherlesselleno00bostiala","Orphans,Children -- Conduct of life","Motherless Ellen, or, The orphan children : with their correspondence"
"","Koo, P. S. ; Lee, H. K. ; Tsui, W.C.","1999-00-00T00:00:00Z","Story 1 (Mr. RED and Mr. GREEN): Mr. RED and Mr. GREEN, the traffic lights, were working hard everyday. They began to find their job boring and tedious. They decided that they wanted to give up their job. If we did not have Mr. RED and Mr. GREEN, then what would the traffic be like? Story 2 (An ant and an egg): An ant found an egg in the forest one day. A few days later, the egg turned into a worm. An ant and his brothers fetched up the little worm and it soon turned to a chrysalis. Find out what was inside the chrysalis... Story 3 [Journey of time]: A little boy and his friends use a time machine to travel to the future. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>This book will be available shortly on the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland. </td> </tr></table>","","koomrvd","","Mr Red And Mr. Green"
"srlf_ucla:LAGE-2493132","","","Mr. Punch -- A naughty somebody -- Little mothers -- By summer seas -- Dollies at the seaside -- Good-night","","mrpunchtuck00londiala","Children's poetry, English","Mr. Punch"
"","Harris, Joel Chandler, 1848-1908","1895-00-00T00:00:00Z","","","mrrabbitathomese00harr2","","Mr. Rabbit at home; a sequel to Little Mr. Thimblefinger and his queer country"
"srlf_ucla:LAGE-3564947","Warner, Susan, 1819-1885,Warner, Anna Bartlett, 1827-1915","1858-00-00T00:00:00Z","NUC pre-1956","","mrrutherfordschi00warniala","Children's stories","Mr. Rutherford's children : second series"
"srlf_ucla:LAGE-2493266","","","Buff wrappers, with red ornamentation and printing; publisher's advertisement on lower wrapper","","mrsprimhersonjim00bostiala","Obedience","Mrs. Prim and her son Jim"
"srlf_ucla:LAGE-3324187","Turner, Mrs. (Elizabeth), d. 1846,Lucas, E. V. (Edward Verrall), 1868-1938","1897-00-00T00:00:00Z","Pale green striped cloth over boards; endpapers illustrated by E. Familoe","","mrsturnerscautio00turniala","","Mrs. Turner's cautionary stories"
"srlf_ucla:LAGE-2470563","Mister, Mary","1818-00-00T00:00:00Z","Half black sheep and grey paper over boards; spine tooled in gold; sprinkled edges","","mungoorthelittle00mistiala","Dogs,Voyages and travels,Seven Wonders of the World","Mungo, or, The little traveller : to which is annexed, The seven wonders of the world"
"srlf_ucla:LAGE-2470564","Mister, Mary","1814-00-00T00:00:00Z","Osborne Coll.","","mungolittletrave00mistiala","Dogs,Voyages and travels","Mungo, the little traveller : a work compiled for the instruction and amusement of youth"
"srlf_ucla:LAGE-2504135","","","The rose -- Good humour -- The fisherman -- The greedy chiid [i.e. child] -- Come when you are called -- The carriage -- The good scholar -- Going to bed","","myauntlucysgifte00baltiala","Children's poetry,Conduct of life","My Aunt Lucy's gift : embellished with coloured engravings"
"srlf_ucla:LAGE-2504137","Minerva Press","1816-00-00T00:00:00Z","Blakey, D. Minerva Press","","mybirdmydogtalef00mineiala","Conduct of life","My bird and my dog : a tale for youth"
"","Leathley, Mary Elizabeth Southwell Dudley","","","","UF00001910","Conduct of life,Christian education of children,Juvenile fiction,Hand-colored illustrations,local","My favorite story book for the young"
"srlf_ucla:LAGE-2504152","","","Publisher's printed goldenrod wrappers; upper wrapper printed in black, red, and blue; publisher's advertisement on lower wrapper","","myfirstalphabet00londiala","","My first alphabet"
"srlf_ucla:LAGE-1519321","Glasgow, Geraldine","","Quarter red cloth and illustrated paper over boards","","myfrienddoggie00glasiala","Children's stories,Conduct of life","My friend Doggie"
"","Doyle, Martha Claire MacGowan, Mrs., 1869-","1901-00-00T00:00:00Z","","","myfriendjimstory00doyl","","My friend Jim; a story of real boys and for them"
"srlf_ucla:LAGE-2504155","","1810-00-00T00:00:00Z","Printed pink wrappers bound into modern red cloth over boards","","myfriendorincide00londiala","Conduct of life,Children's stories","My friend, or, Incidents in life : founded on truth : a trifle for children"
"srlf_ucla:LAGE-3523598","Upton, Mr. (William)","","Contemporary green wrappers","","mygoverness00uptoiala","","My governess"
"srlf_ucla:LAGE-2504158","","1823-00-00T00:00:00Z","Spec. Coll. copy 1 = Russet levant morocco over boards, tooled in blind and gold; green endpapers; all edges gilt. Spine tooled in gold; olive green leather label on spine, lettered in gold: My aunt. Blue wrappers, with engraved, hand-colored pictorial paper onlay on upper wrapper, bound in; cover title: My grandfather. Misbound: leaves out of order","","mygrandfatheroff00londiala","Grandfathers","My grandfather : an offering of gratitude"
"","Y K Law, L Lam, M Y Wan","2001-00-00T00:00:00Z","Story 1 (My grandfather with good power and prestige): In a small heart of a little girl, she disliked her grandfather but who cherished her very much. Once, a surprised accident of elevator occurred, it made her decide to change her attitude to her grandfather. Story 2 (The wishes of flour): In a family with Small Flour, an eldest brother and a younger sister, they all contained brilliant prospect very much. Small Flour thought that he could also stand out. However, after visiting the eldest brother, Small Flour realized the success could not simply be achieved by luck. The job one chose should fit in with him and there was no different among different occupations. Story 3 (The wolf of the high mountain): The wolf of the high mountain left the mountain area because of the drought. He immigrated to the civilized town for better life. Unfortunately, the regions mankind was selfish and the ecosystem of the place had been damaged seriously. The wolf could not find the clean food to eat and finally died for hunger. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>This book will be available shortly on the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland. </td> </tr></table>","","lawgrnd","","My Grandfather With Good Power And Prestige"
"srlf_ucla:LAGE-2504174","Chamberlain, Basil Hall, 1850-1935","","No. 15 in a collection of sixteen, in two slipcases. [Japanese fairy tale collection]","","mylordbagorice00chamiala","Centipedes,Folklore -- Japan","My Lord Bag-o'-Rice"
"","Douglas, Malcolm,Birch, Reginald Bathurst, 1856-1943,Hopkins, L,Hill, C. T,Share, Henry Pruett, 1853-1905,Peters, DeWitt Clinton, b. 1865","","","","myoddlittlefolkr00doug","","My odd little folk : rhymes and verses about them : with some others"
"srlf_ucla:LAGE-2504185","","","Red cloth over boards, blocked in gold and blind","","myowntreasurygif00londiala","Children's stories","My own treasury : a gift book for boys and girls"
"srlf_ucla:LAGE-2504188","Bobbett & Hooper,Bross & Bogert,American Tract Society,Orr, Nathaniel,Felter, John D,Whitney, Elias James, b. 1827,Cox, Richardson","","Russet bead grain cloth over boards, blocked in blind and gold; yellow endpapers","","mypicturebook00bobbiala","Bible stories, English,Children -- Conduct of life,Christian education of children","My picture-book"
"srlf_ucla:LAGE-2071131","Lermont, L. (Lorentz),Krummacher, Frederic Adolphus, 1767-1845","","How play may be made useful -- The young gardeners -- The trial of Sophia's doll -- The ship launch -- The primitive people -- The young artist and his pictures -- Experience is the best teacher -- Judge not from outward appearance -- An unprofitable argument -- The trusting robin -- The innocent fancy of a child -- The butterfly -- Repentance -- The spider -- A type on Earth -- The seven children -- The value of sympathy -- The wish gratified -- The early violet -- The guiding star -- The new year's of an unhappy man -- The echo -- The wolf on his death-bed -- The ape and the fox -- the eagle and the fox -- The violet -- Prayer -- The child's hymn","","myplayisstudyboo00lermiala","Conduct of life,Play -- Religious aspects","My play is study : a book for children"
"srlf_ucla:LAGE-2504193","","","Light blue paper over boards, printed in dark blue; chromolithographed paper onlay on upper board; re-backed","","myprettypresent00newyiala","Children -- Conduct of life","My pretty present"
"srlf_ucla:LAGE-1057423","Cupples, George, Mrs., 1839-1898,Dickes, William, 1815-1892","1874-00-00T00:00:00Z","Publisher's green wave-grain cloth over boards, blocked in black and blind. Two oval color-illustrated paper onlays on upper board","","myprettyscrapboo00cuppiala","Picture books for children,Children's stories","My pretty scrap-book, or, Picture pages and pleasant stories for little readers"
"srlf_ucla:LAGE-2504195","","1812-00-00T00:00:00Z","BM","","myrealfriendorin00londiala","Conduct of life,Children's stories","My real friend, or, Incidents in life, founded on truth : for the amusement of children"
"","Finn, Francis James, 1859-1928","","","","mystrangefriend00finn","Children's stories, American","My strange friend"
"479075","Judson, Katharine Berry","","A collection of fifty-three myths and legends taken from the folklore of the Indians of the Pacific Northwest","","mythslegendsofpa00juds","Indians of North America -- Northwest, Pacific Religion,Indians of North America -- Northwest, Pacific","Myths and legends of the Pacific Northwest : especially of Washington and Oregon"
"","oler, Yehudah Hayim.","1999-00-00T00:00:00Z","","","9780657048433","","Naes fun inder :"
"","Sholem Aleichem","1999-00-00T00:00:00Z","","","9780657036850","Sholem-Aleykhem biblioe far groys un leyn","Nahes fun inder ;"
"","Hofstein, David","2001-00-00T00:00:00Z","","","9780657133757","","Naigatsye :"
"","Tsipor, I. B.","2003-00-00T00:00:00Z","","","9780657129644","","Nakhes fun inder :"
"","Zakaria Mohmmad","1999-00-00T00:00:00Z","Namoula is about a lady who so desperately wants to have children that she prays that can give birth to anything, even if it is an ant. Her prayers are answered and she receives an ant to raise. The ant helps with many things and the mother truly loves her ant. By the end of the story, the ant turns into a beautiful girl for the mother to raise. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=namoula_00310004&summary=true&route=text"" rel=""nofollow"">read a copy of 'Namoula'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","namoula","","Namoula"
"","Dunton, Edith Kellogg","1912-00-00T00:00:00Z","","","nancylee00dunt","","Nancy Lee"
"","Dunton, Edith K. (Edith Kellogg), b. 1875","1918-00-00T00:00:00Z","","","nancyleesnamesak00dunt","","Nancy Lee's namesake .."
"","Dunton, Edith K. (Edith Kellogg), b. 1875","1917-00-00T00:00:00Z","","","nancyleesspringt00dunt","","Nancy Lee's spring term"
"srlf_ucla:LAGE-2509180","American Tract Society,Griffin, John, 1769-1834,Newton, John, 1725-1807","","Quarter brown sheep and marbled paper over boards; spine tooled in gold and lettered: Cunningham &c","","narrativesofeliz00ameriala","Christian life,Conduct of life","Narratives of Eliza Cunningham; Dinah Doudney; and The children of the forest"
"","Lilly, Lambert, 1798-1866","","Duyckinck Coll","","naturalhistoryor00lill","Natural history","Natural history; or, Uncle Philip's conversations with the children about tools and trades among inferior animals"
"srlf_ucla:LAGE-2516654","Martinet, J. F. (Joannes Florentius), 1729-1795","1828-00-00T00:00:00Z","Ex libris: May & George Shiers","","naturedisplayedd00martiala","Children -- Conduct of life,Natural history","Nature displayed : designed to excite the youthful mind to piety and virtue .."
"srlf_ucla:LAGE-910922","Cooke, Flora J. (Flora Juliette), 1864-1953","","Quarter brown cloth and buff printed paper over boards","","naturemythsstori00cookiala","Children's stories,Mythology,Nature stories","Nature myths and stories for little children;"
"srlf_ucla:LAGE-2516884","","","Tiny and his parents -- Tiny, Toodles, and the turkey -- New mischief done by the puppies -- Tiny and Toodles behave worse than ever -- How Tiny hunted the cat, and what he got by it -- What happened to Tiny and Toodles","","naughtypuppies00newyiala","Dogs,Conduct of life","Naughty puppies"
"srlf_ucla:LAGE-2706403","Richards, Laura Elizabeth Howe, 1850-1943","1895-00-00T00:00:00Z","Pearl cloth over boards colored in black, yellow, and orange","","nautilus00richiala","Sea stories,Adventure and adventurers","Nautilus"
"","Otis, James, 1848-1912","","NUC pre-1956","","nealmillersonofl00otis","United States -- History Colonial period, ca. 1600-1775 Juvenile fiction","Neal, the miller : a son of liberty"
"srlf_ucla:LAGE-2518904","","","Ned Graham -- Daniel's youth -- The three purposes -- Fred's squirrel -- Blind Alice -- That little hand -- Sowing and reaping -- Which was wisest","","nedgrahamotherst00bostiala","Children -- Conduct of life","Ned Graham, and other stories"
"","Chapman, Allen","","","","nedwildingsdisap00chap","","Ned Wilding's disappearance, or, The Darewell chums in the city"
"","Franklin, Josephine","","","","nellysfirstschoo00fran","","Nelly's first schooldays"
"172281","Bechstein, Ludwig, 1801-1860","","","","neuesdeutsc00bech","Fairy tales, German","Neues deutsc"
"srlf_ucla:LAGE-2525442","Cecil, Charles, Mrs,Beechey, William, Sir, 1753-1839,Corbould, Richard, 1757-1831,Finden, Edward Francis, 1791-1857,Mulready, William, 1786-1863,Rolls, Charles, b. 1800,Ross, William Charles, Sir, 1794-1860,Stanfield, Clarkson, 1793-1867,Wallis, Robert, 1794-1878","","Dark gray-green hatch-grain cloth over boards, blocked in gold and blind; all edges gilt","","newjuvenilescrap00ceciiala","Children's stories,Conduct of life,Gift books","New juvenile scrap book : a collection of most interesting tales and narratives, for the entertainment and instruction of young people"
"srlf_ucla:LAGE-2525811","Du Broff, Roger, former owner","1820-00-00T00:00:00Z","Original red morocco, tooled in gold","","newsacreddramasf00dubriala","Bible plays,Bible plays, English,Hannahmoriana","New sacred dramas for young persons"
"","Shadowy Sunshine","1852-00-00T00:00:00Z","","","UF00002014","Pictorial cloth bindings (Binding),Conduct of life,Juvenile fiction,Publishers' advertisements","New stories suggested by old rhymes"
"","Johnstone, C. I. (Christian Isobel), 1781-1857","","","","nightsofroundtab00john","Children's stories, Scottish","Nights of the round table; or, Stories of Aunt Jane and her friends .."
"674316","","1882-00-00T00:00:00Z","NY3","","ninette00pari","","Ninette"
"","Vanhoiz, Notke","2003-00-00T00:00:00Z","","","9780657129880","","Niolay Shshors"
"srlf_ucla:LAGE-1012819","Cleaveland, Elizabeth H. Jocelyn (Elizabeth Hannah Jocelyn), 1824-1911","1861-00-00T00:00:00Z","NUC, pre-1956","","nosectinheaven00cleaiala","Society of Friends,Children's poetry","No sect in heaven"
"","Alice Bradley","","","","UF00002222","Perseverance (Ethics),Boys,Bookplates (Provenance),Brothers,Pictorial cloth bindings (Binding),Conduct of life,rbprov,Juvenile fiction,Poverty,Publishers' advertisements","No such word as fail, or, The children's journey"
"","","1851-00-00T00:00:00Z","","","UF00001840","Conduct of life,Juvenile fiction,Embossed cloth bindings (Binding)","No, and other stories"
"","","","","","UF00002001","Truthfulness and falsehood,Pictorial cloth bindings (Binding),Juvenile literature,Christian life,Virtues","Noble deeds and brilliant exploits of heroes of all ages and nations"
"","France, Anatole","2001-00-00T00:00:00Z","","","9780657133559","","Nokh blumen"
"srlf_ucla:LAGE-3747810","Lear, Edward, 1812-1888","1889-00-00T00:00:00Z","","","owlandpussycat00leariala","","Nonsense drolleries : The owl and the pussy-cat ; The duck and the kangaroo / by Edward Lear ; with original illustrations by William Foster"
"","Mabie, Hamilton Wright, 1846-1916,Wright, George, ill","","","","norsestoriesreto00mabi","Mythology, Norse","Norse stories retold from the Eddas / by Hamilton Wright Mabie ; with illistrations in color and decorations by George Wright"
"357010","France, Anatole, 1844-1924,Boutet de Monvel, Louis-Maurice, 1851-1913, ill","","","","nosenfantsscenes00fran","Children -- France","Nos enfants; scenes de la ville et des champs"
"485322","Kauffmann, P","","NY3","","nospetitsalsacie00kauf","Children in Alsace,Alsace (France) -- Social life and customs","Nos petits Alsaciens chez eux ; notes et souvenirs d'artiste, par P. Kauffmann ;"
"srlf_ucla:lage-1727201","Haven, Alice B. (Alice Bradley), 1827-1863,Thwaites, William H","","Hamilton, S. Amer. book illustrators (1968 ed.)","","nothingventureno00haveiala","Women domestics,Duty,Conduct of life","Nothing venture, nothing have"
"79061","Un papa,Poirson, V. A., ill","","NY3","","nouveauvoyageenf00unpa","","Nouveau voyage en France; conversation"
"357029","Fraipont, G. (Gustave), b. 1849","","","","nouvelleshistoir00frai","Proverbs, French","Nouvelles histoires sur de vieux proverbes;"
"","Kellogg, Vernon L. (Vernon Lyman), 1867-1937,Kellogg, Charlotte,Winter, Milo, 1886-1956","","","","nuovaornewbeesto00kell","Bees","Nuova : or, The new bee, a story for children of five to fifty"
"srlf_ucla:LAGE-2544578","Dandlem, Nurse","","Osborne collection of early children's books","","nursedandlems00dandiala","Conduct of life","Nurse Dandlem's little repository of great instruction : containing the surprising adventures of little Wake Wilful, and his deliverance from the Giant Grumbolumbo"
"srlf_ucla:LAGE-2544579","Dandlem, Nurse","","Spec. Coll. copy 1: Original tan wrappers with illustrations on p. [1] and [4]; in case","","nursedandlemslit00dandiala","Conduct of life","Nurse Dandlem's little repository of great instruction, for all who would be good and noble : containing, among other interesting particulars, the surprising adventures of little Wake Wilful, and his happy deliverance from Giant Grumbolumbo"
"srlf_ucla:lage-4877283","Fraser, Claud Lovat, 1890-1921","1919-00-00T00:00:00Z","Opie","","nurselovechildsl00frasiala","Nursery rhymes","Nurse Lovechild's legacy : being a mighty fine collection of the most noble, memorable and veracious nursery rhymes"
"srlf_ucla:LAGE-2544588","Fraser, Claud Lovat, 1890-1921","1916-00-00T00:00:00Z","Pink printed wrappers","","nurselovechilds00frasiala","Nursery rhymes","Nurse Lovechild's legacy;"
"","Flower, Elliott, 1863-1920","1903-00-00T00:00:00Z","","","nursenorahsuptod00flow","","Nurse Norah's up-to-date fairy tales"
"srlf_ucla:LAGE-2544595","","1816-00-00T00:00:00Z","Contemporary green printed wrappers","","nurseryconversat00welliala","Children -- Conduct of life","Nursery conversations with children of three and four years of age"
"srlf_ucla:LAGE-2544596","","1816-00-00T00:00:00Z","Moon, M. Harris (1992)","","nurserydialogues00londiala","Conduct of life","Nursery dialogues, or, Conversations between Nurse Dorothy and Little Emma : interspersed with delightful songs, written and sung by that good old lady"
"srlf_ucla:LAGE-2544597","","","Publisher's printed green stiff wrappers; upper wrapper printed in black, red, and blue","","nurseryditties00londiala","Children's songs","Nursery ditties"
"srlf_ucla:LAGE-2544599","","1838-00-00T00:00:00Z","Gumuchian","","nurserylessonsin00londiala","Conduct of life,Children's stories","Nursery lessons : in words of one syllable"
"srlf_ucla:LAGE-777029","Budden, Maria Elizabeth, 1780?-1832","1818-00-00T00:00:00Z","Moon, M. Harris (1992)","","nurserymoralschi00buddiala","Children -- Conduct of life","Nursery morals : chiefly in monosyllables"
"srlf_ucla:LAGE-2544601","","","Publisher's printed yellow wrappers; pictorial chromoxylographed upper wrapper; publisher's advertisement on lower wrapper","","nurserynonsense00nyhuiala","Nonsense verses, American","Nursery nonsense"
"srlf_ucla:LAGE-2544610","Cogger, Edward P","","(from first lines) Hey diddle diddle, the cat and the fiddle -- I have a little sister; they call her Peep, Peep -- Ba-a ba-a, Black Sheep -- Little Boy Blue, come blow your horn -- You shall have an apple -- Little Bo-Peep has lost her sheep","","nurseryrhymes00coggiala","","Nursery rhymes"
"srlf_ucla:LAGE-2489756","","","Publisher's printed blue wrappers; publisher's advertisement on lower wrapper","","nurseryrhymes00londiala","","Nursery rhymes"
"","Kipnis, Itzik","2001-00-00T00:00:00Z","","","9780657134525","","O er mir iz hayn gefeln"
"","Lino Nelisi","1993-00-00T00:00:00Z","One day, Sione found a huge talo growing on his plantation. He pulled, and pulled, and pulled, but he couldn't pull it out. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=nlsltls_00270001&summary=true&route=text"" rel=""nofollow"">read a copy of 'O Le Talo Sione'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","nlsltls","","O Le Talo Sione"
"srlf_ucla:LAGE-2003706","Ker, David, 1842-1914","1898-00-00T00:00:00Z","Spec. Coll. copy 1: Tan cloth over boards, blocked in blue, brown, red, black, and gold. Inscribed on t.p. Purchased from Robert Temple, 1985","","oertartardeserts00kerdiala","Asia, Central -- Juvenile literature","O'er Tartar deserts, or, English and Russian in central Asia"
